鳥|鳥の巣; 野鳥|`tori` no `su`; `ya``chou`|bird's nest; wild bird|tori:鳥の巣;chou:野鳥
虚|虚しい; 謙虚; 虚構; 虚偽; 虚ろ; 空虚; 虚栄心; 虚弱; 虚言; 虚無; 虚礼; 虚空|`muna`shii; `ken``kyo`; `kyo``kou`; `kyo``gi`; `utsu`ro; `kuu``kyo`; `kyo``ei``shin`; `kyo``jaku`; `kyo``gen`; `kyo``mu`; `kyo``rei`; `ko``kuu`|empty, vain, fruitless, futile; modest, humble; fiction, fabrication, concoction; falsehood, misinformation, untruth; hollow (voice, smile), blank (eyes), empty (words); emptiness, hollowness, pointlessness, meaninglessness; vanity; feebleness, weakness; falsehood, lie; nihility, nothingness; empty (useless) formalities; empty space, empty sky|muna:虚しい;kyo:謙虚,虚構,虚偽,空虚,虚栄心,虚弱,虚言,虚無,虚礼;utsu:虚ろ;ko:虚空
礼|虚礼; 礼; 失礼; 無礼; 謝礼; 洗礼; 礼儀|`kyo``rei`; rei; `shitsu``rei`; `bu``rei`; `sha``rei`; `sen``rei`; `rei``gi`|empty (useless) formalities; manners, ettiquette, thanks; impolite, rude, discourteous; rudeness, insolence, discourtesy; reward, remuneration; baptism; manners, courtesy|rei:虚礼,礼,失礼,無礼,謝礼,洗礼,礼儀
雲|雲; 暗雲; 雲泥の差|kumo; `an``un`; `un``dei`no`sa`|cloud; dark clouds; a great (marked) difference (in quality)|kumo:雲;un:暗雲,雲泥の差
暗|暗雲; 疑心暗鬼|`an``un`; `gi``shin``an``ki`|dark clouds; once you suspect things, everything looks suspicious. Suspicious begets monsters|an:暗雲,疑心暗鬼
柄|柄; 柄; 取り柄; 事柄; 銘柄; 小柄; 間柄; 身柄; 図柄; 柄にもない|e; gara; `to`ri`e`; `koto``gara`; `mei``gara`; `ko``gara`; `aida``gara`; `mi``gara`; `zu``gara`; `gara`nimonai|handle (of an umberella) stalk (of a mushroom); pattern, design, build (e.g. big build); strong point, worth, value, saving grace; matter, affair, circumstance; brand, make; small build, petite, small pattern; relationship, terms (e.g. being on friendly terms or on bad terms with); one's person; design, pattern; out of character|e:柄,取り柄;gara:柄,事柄,銘柄,小柄,間柄,身柄,図柄,柄にもない
崩|崩れる; 雪崩; 崩落; 崩潰|`kuzu`reru; nadare; `hou``raku`; `hou``kai`|to collapse, to crumble, to break; avalanche; collapse, cave-in; collapse, breaking down (more commonly 崩壊)|kuzu:崩れる;nadare:雪崩;hou:崩落,崩潰
懇|懇ろ; 懇話; 懇親; 懇談; 懇談会; 懇親会; 懇切|`nengo`ro; `kon``wa`; `kon``shin`; `kon``dan`; `kon``dan``kai`; `kon``shin``kai`; `kon``setsu`|kind, courteous, hospitable; friendly chat; friendship, intamacy; informal chat, relaxed conversation; informal chat (e.g. with the prime minister); get-together, social gathering, friendly meeting; kind and careful (e.g. instructions), considerate, helpful, thoughtful|nengo:懇ろ;kon:懇話,懇親,懇談,懇談会,懇親会,懇切
談|懇談; 会談; 面談; 懇談会; 雑談|`kon``dan`; `kai``dan`; `men``dan`; `kon``dan``kai`; `zatsu``dan`|informal chat, relaxed conversation; (formal) talks, conference; interview; informal chat (e.g. with the prime minister); idle chatter|dan:懇談,会談,面談,懇談会,雑談
浮|浮かぶ; 浮く; 浮つく; 浮気; 浮上; 浮力|`u`kabu; `u`ku; `uwa`tsuku; `uwa``ki`; `fu``jou`; `fu``ryoku`|to float, to rise; to be merry, happy; to be frivolous, fickle, giddy (e.g. like kids letting their hair down and stuff at prom); having an affair, cheating; surfacing, rising to the surface; buoyancy|u:浮かぶ,浮く;uwa:浮つく,浮気;fu:浮上,浮力
采|喝采; 采配|`kas``sai`; `sai``hai`|suru: applause, cheer; baton (of command), command, order|sai:喝采,采配
